package,downloads,stars,gallery,description,CRAN
ggplot2,165743369,NA,NA,Create Elegant Data Visualisations Using the Grammar of Graphics,TRUE
ggrepel,24592062,1228,TRUE,Automatically Position Non-Overlapping Text Labels with 'ggplot2',TRUE
cowplot,19380778,712,TRUE,Streamlined Plot Theme and Plot Annotations for 'ggplot2',TRUE
ggpubr,17105404,1154,TRUE,'ggplot2' Based Publication Ready Plots,TRUE
ggsci,12687889,676,TRUE,Scientific Journal and Sci-Fi Themed Color Palettes for 'ggplot2',TRUE
ggsignif,12609984,597,TRUE,Significance Brackets for 'ggplot2',TRUE
patchwork,8760444,2504,TRUE,NA,NA
ggmap,7375169,NA,NA,Spatial Visualization with ggplot2,TRUE
GGally,7041337,594,TRUE,Extension to 'ggplot2',TRUE
ggthemes,6524093,1326,TRUE,"Extra Themes, Scales and Geoms for 'ggplot2'",TRUE
ggforce,5638507,918,TRUE,Accelerating 'ggplot2',TRUE
ggridges,5181149,414,TRUE,Ridgeline Plots in 'ggplot2',TRUE
tidytext,4214586,NA,NA,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",TRUE
ggraph,3866073,1083,TRUE,An Implementation of Grammar of Graphics for Graphs and Networks,TRUE
ggtext,3583912,657,TRUE,Improved Text Rendering Support for 'ggplot2',TRUE
hrbrthemes,3051839,1252,TRUE,"Additional Themes, Theme Components and Utilities for 'ggplot2'",TRUE
ggfortify,3020494,528,TRUE,Data Visualization Tools for Statistical Analysis Results,TRUE
waterfalls,2604631,NA,NA,Create Waterfall Charts using 'ggplot2' Simply,TRUE
survminer,2553105,521,TRUE,Drawing Survival Curves using 'ggplot2',TRUE
ggeffects,1967107,NA,NA,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs,TRUE
ggcorrplot,1916054,189,TRUE,Visualization of a Correlation Matrix using 'ggplot2',TRUE
ggdendro,1871774,NA,NA,Create Dendrograms and Tree Diagrams Using 'ggplot2',TRUE
ggplotify,1776559,NA,NA,Convert Plot to 'grob' or 'ggplot' Object,TRUE
ggfun,1697211,NA,NA,Miscellaneous Functions for 'ggplot2',TRUE
ggstats,1621732,35,TRUE,Extension to 'ggplot2' for Plotting Stats,TRUE
aplot,1497919,NA,NA,Decorate a 'ggplot' with Associated Information,TRUE
ggbeeswarm,1463337,546,TRUE,Categorical Scatter (Violin Point) Plots,TRUE
ggstance,1456339,201,TRUE,Horizontal 'ggplot2' Components,TRUE
ggplot2movies,1345278,NA,NA,Movies Data,TRUE
ggfittext,1332085,306,TRUE,Fit Text Inside a Box in 'ggplot2',TRUE
ggformula,1323952,38,TRUE,Formula Interface to the Grammar of Graphics,TRUE
gganimate,1294926,1958,TRUE,A Grammar of Animated Graphics,TRUE
ggnewscale,1244553,410,TRUE,Multiple Fill and Colour Scales in 'ggplot2',TRUE
treemapify,1053843,215,TRUE,Draw Treemaps in 'ggplot2',TRUE
ggvis,963255,NA,NA,Interactive Grammar of Graphics,TRUE
ggdist,961056,857,TRUE,Visualizations of Distributions and Uncertainty,TRUE
ggExtra,958989,385,TRUE,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2' Enhancements",TRUE
ggiraph,901103,817,TRUE,Make 'ggplot2' Graphics Interactive,TRUE
ggpmisc,867499,102,TRUE,Miscellaneous Extensions to 'ggplot2',TRUE
egg,802689,NA,NA,"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",TRUE
see,798915,897,TRUE,Model Visualisation Toolbox for 'easystats' and 'ggplot2',TRUE
ggalluvial,739777,506,TRUE,Alluvial Plots in 'ggplot2',TRUE
heatmaply,721085,NA,NA,Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2',TRUE
esquisse,685409,1791,TRUE,NA,NA
ggpp,666167,127,TRUE,Grammar Extensions to 'ggplot2',TRUE
ggstatsplot,661223,2070,TRUE,'ggplot2' Based Plots with Statistical Details,TRUE
ggspatial,660197,NA,NA,Spatial Data Framework for ggplot2,TRUE
directlabels,598164,82,TRUE,NA,NA
ggrastr,551991,220,TRUE,Rasterize Layers for 'ggplot2',TRUE
ggalt,526263,670,TRUE,"Extra Coordinate Systems, 'Geoms', Statistical Transformations, Scales and Fonts for 'ggplot2'",TRUE
ggimage,508513,NA,NA,Use Image in 'ggplot2',TRUE
qqplotr,479528,51,TRUE,Quantile-Quantile Plot Extensions for 'ggplot2',TRUE
ggh4x,406894,602,TRUE,Hacks for 'ggplot2',TRUE
plotROC,390644,87,TRUE,NA,NA
ggmosaic,369861,168,TRUE,Mosaic Plots in the 'ggplot2' Framework,TRUE
ggnetwork,342579,147,TRUE,Geometries to Plot Networks with 'ggplot2',TRUE
gghighlight,316617,NA,NA,Highlight Lines and Points in 'ggplot2',TRUE
lemon,310433,187,TRUE,Freshing Up your 'ggplot2' Plots,TRUE
ggside,309010,345,TRUE,Side Grammar Graphics,TRUE
ggiraphExtra,302234,NA,NA,Make Interactive 'ggplot2'. Extension to 'ggplot2' and 'ggiraph',TRUE
thematic,263848,NA,NA,"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and
'base' R Graphics",TRUE
ggtern,252444,NA,NA,"An Extension to 'ggplot2', for the Creation of Ternary Diagrams",TRUE
ggVennDiagram,252401,NA,NA,A 'ggplot2' Implement of Venn Diagram,TRUE
ggpattern,244697,364,TRUE,'ggplot2' Pattern Geoms,TRUE
ggdag,235603,441,TRUE,Analyze and Create Elegant Directed Acyclic Graphs,TRUE
ggwordcloud,226261,174,TRUE,A Word Cloud Geom for 'ggplot2',TRUE
gggenes,222443,524,TRUE,Draw Gene Arrow Maps in 'ggplot2',TRUE
tidyterra,219971,187,TRUE,'tidyverse' Methods and 'ggplot2' Helpers for 'terra' Objects,TRUE
ggplot.multistats,209074,NA,NA,Multiple Summary Statistics for Binned Stats/Geometries,TRUE
ggprism,201723,NA,NA,A 'ggplot2' Extension Inspired by 'GraphPad Prism',TRUE
ggvenn,193006,NA,NA,Draw Venn Diagram by 'ggplot2',TRUE
ggbreak,192752,133,TRUE,Set Axis Break for 'ggplot2',TRUE
gghalves,188659,244,TRUE,Compose Half-Half Plots Using Your Favourite Geoms,TRUE
ggsurvfit,184159,3,TRUE,Flexible Time-to-Event Figures,TRUE
ggResidpanel,181775,NA,NA,Panels and Interactive Versions of Diagnostic Plots using 'ggplot2',TRUE
ggupset,167963,354,TRUE,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,TRUE
ggpol,164721,105,TRUE,Visualizing Social Science Data with 'ggplot2',TRUE
ggseqlogo,162960,211,TRUE,A 'ggplot2' Extension for Drawing Publication-Ready Sequence Logos,TRUE
ggtangle,152913,NA,NA,Draw Network with Data,TRUE
gratia,149184,NA,NA,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",TRUE
ggThemeAssist,141672,NA,NA,Add-in to Customize 'ggplot2' Themes,TRUE
AMR,141019,91,TRUE,NA,NA
