# CRAN data generated on: 2025-04-02 11:12:44.077273
package,downloads,description,CRAN
gg.gap,42258,Define Segments in y-Axis for 'ggplot2',TRUE
gg1d,808,Exploratory Data Analysis using Tiled One-Dimensional Graphics,TRUE
ggalign,4731,A 'ggplot2' Extension for Consistent Axis Alignment,TRUE
ggaligner,3469,Visualizing Sequence Alignment by Generating Publication-Ready Plots,TRUE
ggalignment,9850,Plots 'D&D'-Style Alignment Charts,TRUE
ggallin,35143,Grab Bag of 'ggplot2' Functions,TRUE
ggalluvial,665218,Alluvial Plots in 'ggplot2',TRUE
GGally,6718408,Extension to 'ggplot2',TRUE
ggalt,504123,"Extra Coordinate Systems, 'Geoms', Statistical Transformations, Scales and Fonts for 'ggplot2'",TRUE
gganimate,1215551,A Grammar of Animated Graphics,TRUE
ggarchery,16840,Flexible Segment Geoms with Arrows for 'ggplot2',TRUE
ggarrow,5753,Arrows for 'ggplot2',TRUE
ggautomap,3459,Create Maps from a Column of Place Names,TRUE
ggbeeswarm,1354568,Categorical Scatter (Violin Point) Plots,TRUE
ggbiplot,66443,A Grammar of Graphics Implementation of Biplots,TRUE
ggblanket,27581,Simplify 'ggplot2' Visualisation,TRUE
ggblend,6311,Blending and Compositing Algebra for 'ggplot2',TRUE
ggborderline,14399,Line Plots that Pop,TRUE
ggbrace,4113,Curly Braces for 'ggplot2',TRUE
ggbrain,8837,Create Images of Volumetric Brain Data in NIfTI Format Using 'ggplot2' Syntax,TRUE
ggbreak,164727,Set Axis Break for 'ggplot2',TRUE
ggbrick,2409,Waffle Style Chart with a Brick Layout in 'ggplot2',TRUE
ggBubbles,19669,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',TRUE
ggbuildr,24800,Save Incremental Builds of Plots,TRUE
ggbump,36646,Bump Chart and Sigmoid Curves,TRUE
ggchangepoint,8581,Combines Changepoint Analysis with 'ggplot2',TRUE
ggcharts,36249,Shorten the Distance from Data Visualization Idea to Actual Plot,TRUE
ggChernoff,31917,Chernoff Faces for 'ggplot2',TRUE
ggcleveland,10955,Implementation of Plots from Cleveland's Visualizing Data Book,TRUE
ggcompare,1293,Mean Comparison in 'ggplot2',TRUE
ggcorrplot,1786784,Visualization of a Correlation Matrix using 'ggplot2',TRUE
ggcorset,10914,The Corset Plot,TRUE
ggdag,217074,Analyze and Create Elegant Directed Acyclic Graphs,TRUE
ggdark,79426,Dark Mode for 'ggplot2' Themes,TRUE
ggdaynight,5517,Add Day/Night Patterns to 'ggplot2' Plots,TRUE
ggdemetra,36745,'ggplot2' Extension for Seasonal and Trading Day Adjustment with 'RJDemetra',TRUE
ggdendro,1820304,Create Dendrograms and Tree Diagrams Using 'ggplot2',TRUE
ggdensity,27596,Interpretable Bivariate Density Visualization with 'ggplot2',TRUE
ggdist,835895,Visualizations of Distributions and Uncertainty,TRUE
ggdmc,34857,Cognitive Models,TRUE
ggDoE,8317,Modern Graphs for Design of Experiments with 'ggplot2',TRUE
ggDoubleHeat,9636,A Heatmap-Like Visualization Tool,TRUE
gge,96226,Genotype Plus Genotype-by-Environment Biplots,TRUE
ggeasy,105230,Easy Access to 'ggplot2' Commands,TRUE
GGEBiplots,41187,GGE Biplots with 'ggplot2',TRUE
ggedit,100560,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,TRUE
ggeffects,1827389,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs,TRUE
ggenealogy,41805,Visualization Tools for Genealogical Data,TRUE
ggESDA,9198,Exploratory Symbolic Data Analysis with 'ggplot2',TRUE
ggetho,42878,Visualisation of High-Throughput Behavioural (i.e. Ethomics) Data,TRUE
ggExtra,908229,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2' Enhancements",TRUE
ggfacto,7922,Graphs for Correspondence Analysis,TRUE
ggfields,2257,Add Vector Field Layers to Ggplots,TRUE
ggfigdone,1671,Manage & Modify 'ggplot' Figures using 'ggfigdone',TRUE
ggFishPlots,5970,Visualise and Calculate Life History Parameters for Fisheries Science using 'ggplot2',TRUE
ggfittext,1281696,Fit Text Inside a Box in 'ggplot2',TRUE
ggfixest,6582,Dedicated 'ggplot2' Methods for 'fixest' Objects,TRUE
