date,count,cumulative,package
2016-01-09,5,5,ggrepel
2016-01-10,42,47,ggrepel
2016-01-11,106,153,ggrepel
2016-01-12,151,304,ggrepel
2016-01-13,155,459,ggrepel
2016-01-14,99,558,ggrepel
2016-01-15,102,660,ggrepel
2016-01-16,23,683,ggrepel
2016-01-17,40,723,ggrepel
2016-01-18,67,790,ggrepel
2016-01-19,77,867,ggrepel
2016-01-20,55,922,ggrepel
2016-01-21,68,990,ggrepel
2016-01-22,67,1057,ggrepel
2016-01-23,33,1090,ggrepel
2016-01-24,42,1132,ggrepel
2016-01-25,120,1252,ggrepel
2016-01-26,84,1336,ggrepel
2016-01-27,73,1409,ggrepel
2016-01-28,81,1490,ggrepel
2016-01-29,57,1547,ggrepel
2016-01-30,45,1592,ggrepel
2016-01-31,38,1630,ggrepel
2016-02-01,73,1703,ggrepel
2016-02-02,82,1785,ggrepel
2016-02-03,155,1940,ggrepel
2016-02-04,72,2012,ggrepel
2016-02-05,99,2111,ggrepel
2016-02-06,81,2192,ggrepel
2016-02-07,65,2257,ggrepel
2016-02-08,185,2442,ggrepel
2016-02-09,187,2629,ggrepel
2016-02-10,163,2792,ggrepel
2016-02-11,142,2934,ggrepel
2016-02-12,131,3065,ggrepel
2016-02-13,56,3121,ggrepel
2016-02-14,62,3183,ggrepel
2016-02-15,125,3308,ggrepel
2016-02-16,175,3483,ggrepel
2016-02-17,130,3613,ggrepel
2016-02-18,133,3746,ggrepel
2016-02-19,109,3855,ggrepel
2016-02-20,85,3940,ggrepel
2016-02-21,72,4012,ggrepel
2016-02-22,144,4156,ggrepel
2016-02-23,120,4276,ggrepel
2016-02-24,108,4384,ggrepel
2016-02-25,130,4514,ggrepel
2016-02-26,145,4659,ggrepel
2016-02-27,56,4715,ggrepel
2016-02-28,47,4762,ggrepel
2016-02-29,129,4891,ggrepel
2016-03-01,142,5033,ggrepel
2016-03-02,137,5170,ggrepel
2016-03-03,117,5287,ggrepel
2016-03-04,100,5387,ggrepel
2016-03-05,66,5453,ggrepel
2016-03-06,60,5513,ggrepel
2016-03-07,149,5662,ggrepel
2016-03-08,151,5813,ggrepel
2016-03-09,104,5917,ggrepel
2016-03-10,129,6046,ggrepel
2016-03-11,92,6138,ggrepel
2016-03-12,42,6180,ggrepel
2016-03-13,38,6218,ggrepel
2016-03-14,122,6340,ggrepel
2016-03-15,121,6461,ggrepel
2016-03-16,117,6578,ggrepel
2016-03-17,144,6722,ggrepel
2016-03-18,95,6817,ggrepel
2016-03-19,40,6857,ggrepel
2016-03-20,82,6939,ggrepel
2016-03-21,90,7029,ggrepel
2016-03-22,124,7153,ggrepel
2016-03-23,102,7255,ggrepel
2016-03-24,97,7352,ggrepel
2016-03-25,74,7426,ggrepel
2016-03-26,42,7468,ggrepel
2016-03-27,55,7523,ggrepel
2016-03-28,154,7677,ggrepel
2016-03-29,182,7859,ggrepel
2016-03-30,146,8005,ggrepel
2016-03-31,117,8122,ggrepel
2016-04-01,103,8225,ggrepel
2016-04-02,55,8280,ggrepel
2016-04-03,71,8351,ggrepel
2016-04-04,127,8478,ggrepel
2016-04-05,164,8642,ggrepel
2016-04-06,178,8820,ggrepel
2016-04-07,135,8955,ggrepel
2016-04-08,114,9069,ggrepel
2016-04-09,64,9133,ggrepel
2016-04-10,71,9204,ggrepel
2016-04-11,139,9343,ggrepel
2016-04-12,214,9557,ggrepel
2016-04-13,174,9731,ggrepel
2016-04-14,96,9827,ggrepel
2016-04-15,108,9935,ggrepel
2016-04-16,47,9982,ggrepel
2016-04-17,84,10066,ggrepel
2016-04-18,150,10216,ggrepel
2016-04-19,152,10368,ggrepel
2016-04-20,169,10537,ggrepel
2016-04-21,112,10649,ggrepel
2016-04-22,119,10768,ggrepel
2016-04-23,68,10836,ggrepel
2016-04-24,74,10910,ggrepel
2016-04-25,128,11038,ggrepel
2016-04-26,136,11174,ggrepel
2016-04-27,211,11385,ggrepel
