# Gallery data generated on: 2025-04-02 11:03:48.116252
package,downloads,stars,gallery
ggQQunif,24165,8,TRUE
ggupset,167963,354,TRUE
xmrr,25620,7,TRUE
ggpcp,9231,1,TRUE
gg3D,NA,104,TRUE
ggQC,63723,46,TRUE
ggdist,961056,857,TRUE
ggedit,104209,250,TRUE
ggpage,27050,340,TRUE
ggpca,3468,2,TRUE
ggbreak,192752,133,TRUE
ggimg,24483,53,TRUE
gganatogram,NA,383,TRUE
ggforce,5638507,918,TRUE
ggalt,526263,670,TRUE
ggiraph,901103,817,TRUE
ggmuller,45759,64,TRUE
ggstance,1456339,201,TRUE
ggrepel,24592062,1228,TRUE
ggraph,3866073,1083,TRUE
gginnards,111422,24,TRUE
ggpp,666167,127,TRUE
ggpmisc,867499,102,TRUE
geomnet,37491,97,TRUE
ggExtra,958989,385,TRUE
ggfortify,3020494,528,TRUE
autoplotly,57376,88,TRUE
gganimate,1294926,1958,TRUE
ggfx,54892,170,TRUE
plotROC,390644,87,TRUE
ggbump,40075,541,TRUE
ggthemes,6524093,1326,TRUE
ggspectra,73670,5,TRUE
ggstatsplot,661223,2070,TRUE
ggnetwork,342579,147,TRUE
ggtech,NA,393,TRUE
ggradar,NA,340,TRUE
ggx,13545,151,TRUE
ggTimeSeries,49252,255,TRUE
ggtree,NA,858,TRUE
ggseas,118083,74,TRUE
ggsci,12687889,676,TRUE
ggmosaic,369861,168,TRUE
survminer,2553105,521,TRUE
ggeasy,111791,274,TRUE
ggside,309010,345,TRUE
ggcorrplot,1916054,189,TRUE
ggpubr,17105404,1154,TRUE
ggthemr,NA,898,TRUE
GGally,7041337,594,TRUE
ggseqlogo,162960,211,TRUE
ggChernoff,33306,36,TRUE
ggridges,5181149,414,TRUE
lemon,310433,187,TRUE
cowplot,19380778,712,TRUE
qqplotr,479528,51,TRUE
ggalluvial,739777,506,TRUE
patchwork,8760444,2504,TRUE
ggquiver,44370,51,TRUE
ggsignif,12609984,597,TRUE
ggdag,235603,441,TRUE
ggformula,1323952,38,TRUE
ggbeeswarm,1463337,546,TRUE
ggperiodic,31648,21,TRUE
ggpol,164721,105,TRUE
ggpirate,NA,26,TRUE
esquisse,685409,1791,TRUE
ggdark,82478,199,TRUE
sugrrants,70427,82,TRUE
tvthemes,42092,140,TRUE
ggfittext,1332085,306,TRUE
ggparty,80931,147,TRUE
gggenes,222443,524,TRUE
gggenomes,4997,641,TRUE
treemapify,1053843,215,TRUE
lindia,60586,104,TRUE
gghalves,188659,244,TRUE
ggrastr,551991,220,TRUE
ggpointdensity,95399,422,TRUE
ggsom,27736,13,TRUE
ggnewscale,1244553,410,TRUE
ggh4x,406894,602,TRUE
ggarrow,8630,54,TRUE
legendry,7292,211,TRUE
ggcharts,38343,292,TRUE
humapr,NA,9,TRUE
ggshadow,17160,60,TRUE
ggseg,28265,219,TRUE
mdthemes,19260,80,TRUE
ggwordcloud,226261,174,TRUE
ggasym,39996,13,TRUE
gglorenz,36075,31,TRUE
hrbrthemes,3051839,1252,TRUE
ggpattern,244697,364,TRUE
ggtext,3583912,657,TRUE
calendR,54563,255,TRUE
ggip,17622,27,TRUE
gglm,48498,79,TRUE
econocharts,NA,252,TRUE
ComplexUpset,85367,486,TRUE
ggchromatic,NA,13,TRUE
ggheatmap,26763,87,TRUE
see,798915,897,TRUE
directlabels,598164,82,TRUE
ggHoriPlot,16400,144,TRUE
ggtrace,8605,15,TRUE
ggESDA,9576,21,TRUE
geomtextpath,125802,629,TRUE
ggdensity,30705,229,TRUE
ggtranscript,NA,135,TRUE
piecepackr,36824,59,TRUE
oblicubes,6739,20,TRUE
ggDoubleHeat,10658,14,TRUE
nflplotR,35233,20,TRUE
ggbraid,1267,81,TRUE
ggblanket,29954,168,TRUE
ggpie,26507,48,TRUE
ggstar,68107,100,TRUE
ggarchery,19806,32,TRUE
tidyterra,219971,187,TRUE
ggseqplot,39033,14,TRUE
ggsurvfit,184159,3,TRUE
ggsector,10603,4,TRUE
ggterror,NA,0,TRUE
ggragged,5676,35,TRUE
ggmapinset,7975,36,TRUE
ggmagnify,NA,278,TRUE
ggblend,8009,184,TRUE
ggflowchart,8302,88,TRUE
ggrain,36847,75,TRUE
ggoutlierscatterplot,NA,4,TRUE
ggautothemes,NA,2,TRUE
AMR,141019,91,TRUE
ichimoku,62634,31,TRUE
eheat,NA,12,TRUE
ggstats,1621732,35,TRUE
ggfoundry,2658,17,TRUE
ggalign,8089,227,TRUE
ggreveal,5200,33,TRUE
geofacet,94968,340,TRUE
tidyplots,21654,415,TRUE
rphylopic,40512,91,TRUE
deeptime,32315,90,TRUE
=======
ggQQunif,23459,8,TRUE
ggupset,153771,354,TRUE
xmrr,25090,7,TRUE
ggpcp,6610,1,TRUE
gg3D,NA,104,TRUE
ggQC,62700,46,TRUE
ggdist,835895,857,TRUE
ggedit,100560,250,TRUE
ggpage,26263,340,TRUE
ggpca,2641,2,TRUE
ggbreak,164727,133,TRUE
ggimg,23563,53,TRUE
gganatogram,NA,383,TRUE
ggforce,5186610,918,TRUE
ggalt,504123,670,TRUE
ggiraph,853159,817,TRUE
ggmuller,44667,64,TRUE
ggstance,1417333,201,TRUE
ggrepel,23345337,1228,TRUE
ggraph,3650294,1083,TRUE
gginnards,102969,24,TRUE
ggpp,595032,127,TRUE
ggpmisc,806689,102,TRUE
geomnet,37403,97,TRUE
ggExtra,908229,385,TRUE
ggfortify,2900352,528,TRUE
autoplotly,55393,88,TRUE
gganimate,1215551,1958,TRUE
ggfx,49345,170,TRUE
plotROC,378373,87,TRUE
ggbump,36646,541,TRUE
ggthemes,6224812,1326,TRUE
ggspectra,71995,5,TRUE
ggstatsplot,617797,2070,TRUE
ggnetwork,323379,147,TRUE
ggtech,NA,393,TRUE
ggradar,NA,340,TRUE
ggx,12807,151,TRUE
ggTimeSeries,47027,255,TRUE
ggtree,NA,858,TRUE
ggseas,116602,74,TRUE
ggsci,12072118,676,TRUE
ggmosaic,350732,168,TRUE
survminer,2386700,521,TRUE
ggeasy,105230,274,TRUE
ggside,280372,345,TRUE
ggcorrplot,1786784,189,TRUE
ggpubr,16228504,1154,TRUE
ggthemr,NA,898,TRUE
GGally,6718408,594,TRUE
ggseqlogo,150415,211,TRUE
ggChernoff,31917,36,TRUE
ggridges,4852762,414,TRUE
lemon,286704,187,TRUE
cowplot,17969538,712,TRUE
qqplotr,454930,51,TRUE
ggalluvial,665218,506,TRUE
patchwork,7732489,2504,TRUE
ggquiver,42402,51,TRUE
ggsignif,12007419,597,TRUE
ggdag,217074,441,TRUE
ggformula,1270507,38,TRUE
ggbeeswarm,1354568,546,TRUE
ggperiodic,30375,21,TRUE
ggpol,158064,105,TRUE
ggpirate,NA,26,TRUE
esquisse,658353,1791,TRUE
ggdark,79426,199,TRUE
sugrrants,68521,82,TRUE
tvthemes,40676,140,TRUE
ggfittext,1281696,306,TRUE
ggparty,72303,147,TRUE
gggenes,208441,524,TRUE
gggenomes,3480,641,TRUE
treemapify,1023475,215,TRUE
lindia,58033,104,TRUE
gghalves,167876,244,TRUE
ggrastr,492738,220,TRUE
ggpointdensity,84307,422,TRUE
ggsom,26780,13,TRUE
ggnewscale,1046863,410,TRUE
ggh4x,323949,602,TRUE
ggarrow,5753,54,TRUE
legendry,3317,211,TRUE
ggcharts,36249,292,TRUE
humapr,NA,9,TRUE
ggshadow,15880,60,TRUE
ggseg,25141,219,TRUE
mdthemes,19176,80,TRUE
ggwordcloud,205406,174,TRUE
ggasym,39451,13,TRUE
gglorenz,34937,31,TRUE
hrbrthemes,2985553,1252,TRUE
ggpattern,204074,364,TRUE
ggtext,3299854,657,TRUE
calendR,51366,255,TRUE
ggip,16814,27,TRUE
gglm,43752,79,TRUE
econocharts,NA,252,TRUE
ComplexUpset,70555,486,TRUE
ggchromatic,NA,13,TRUE
ggheatmap,24924,87,TRUE
see,725962,897,TRUE
directlabels,571932,82,TRUE
ggHoriPlot,14684,144,TRUE
ggtrace,7543,15,TRUE
ggESDA,9198,21,TRUE
geomtextpath,108523,629,TRUE
ggdensity,27596,229,TRUE
ggtranscript,NA,135,TRUE
piecepackr,34658,59,TRUE
oblicubes,5976,20,TRUE
ggDoubleHeat,9636,14,TRUE
nflplotR,32466,20,TRUE
ggbraid,1251,81,TRUE
ggblanket,27581,168,TRUE
ggpie,23251,48,TRUE
ggstar,63209,100,TRUE
ggarchery,16840,32,TRUE
tidyterra,177535,187,TRUE
ggseqplot,17485,14,TRUE
ggsurvfit,161714,3,TRUE
ggsector,8327,4,TRUE
ggterror,NA,0,TRUE
ggragged,4884,35,TRUE
ggmapinset,6911,36,TRUE
ggmagnify,NA,278,TRUE
ggblend,6311,184,TRUE
ggflowchart,6825,88,TRUE
ggrain,30721,75,TRUE
ggoutlierscatterplot,NA,4,TRUE
ggautothemes,NA,2,TRUE
AMR,133552,91,TRUE
ichimoku,59109,31,TRUE
eheat,NA,12,TRUE
ggstats,1341141,35,TRUE
ggfoundry,2052,17,TRUE
ggalign,4731,227,TRUE
ggreveal,3092,33,TRUE
geofacet,90485,340,TRUE
tidyplots,13074,415,TRUE
rphylopic,38338,91,TRUE
deeptime,28423,90,TRUE
