desc,indices
Add to 'ggplot2',299
Decorate a 'ggplot' with Associated Information,1169
Generative Art with 'ggplot2',1437
Remove Weekends and Holidays from ggplot2 Axes,2566
Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',4155
Create Complex UpSet Plots Using 'ggplot2' Components,6171
A Tiny Contribution Table Generator Based on 'ggplot2',6453
Streamlined Plot Theme and Plot Annotations for 'ggplot2',6857
Plot Fan Plots for Cytometry Data using 'ggplot2',7581
"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",10365
"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",12324
Patterned Fills for 'ggplot2' and 'grid' Graphics,12354
"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",12700
"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",13589
Drawing Gapped Cluster Heatmaps with 'ggplot2',13643
'ggplot2' Faceting Utilities for Geographical Data,14125
Curved Text in 'ggplot2',14183
Graphical Analysis of Variance Using ggplot2,15093
"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",15145
"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",15585
Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2',15990
"Additional Themes, Theme Components and Utilities for 'ggplot2'",16466
Add Ipea Editorial Standards to 'ggplot2' Graphics,17831
"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",18278
Kaplan-Meier Plot with 'ggplot2',18480
Tilt your Maps and Turn Them into 'ggplot' Plots,19306
Extended Legends and Axes for 'ggplot2',19522
Freshing Up your 'ggplot2' Plots,19548
A Grammar of Interactive Graphics,20252
"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",22567
NFL Logo Plots in 'ggplot2' and 'gt',24620
"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",25046
"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",25729
"Use XKCD's ""Painbow"" Colormap in ggplot2",26382
"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",27938
"'ggplot2' Version of ""I'm Feeling Lucky!""",27942
"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",27974
Quantile-Quantile Plot Extensions for 'ggplot2',29741
Data Visualization for QTL Experiments,29833
"Build Regression Models Quickly and Display the Results Using
'ggplot2'",30009
R Commander Plug-in for Data Visualization with 'ggplot2',30866
A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,32206
Model Visualisation Toolbox for 'easystats' and 'ggplot2',35135
"Create Standalone and Composite Plots in 'ggplot2' for
Publications",36829
"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",37229
Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,37777
Steve's 'ggplot2' Themes and Related Theme Elements,38373
Drawing Survival Curves using 'ggplot2',38963
Tools for Creating Swimmers Plots using 'ggplot2',39139
"Presentation-Quality Tables, Displayed Using 'ggplot2'",39326
Globe and Mail Graphics Theme for 'ggplot2',39946
"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and
'base' R Graphics",39982
Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',40128
'tidyverse' Methods and 'ggplot2' Helpers for 'terra' Objects,40244
"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",40246
Lightweight Repackaging of 'Themes' for 'ggplot2',40404
Draw Treemaps in 'ggplot2',40894
TV Show Themes and Color Palettes for 'ggplot2' Graphics,41372
UNHCR 'ggplot2' Theme and Colour Palettes,41603
Create Waterfall Charts using 'ggplot2' Simply,42605
Plotting ggplot2 Graphics in an XKCD Style,43292
