names,indices
add2ggplot,298
aplot,1168
aRtsy,1436
bdscale,2565
calendR,4154
ComplexUpset,6170
contribution,6452
cowplot,6856
cytofan,7580
egg,10364
figpatch,12323
fillpattern,12353
flowmapper,12699
gamlss.ggplots,13588
gapmap,13642
geofacet,14124
geomtextpath,14182
granovaGG,15092
gratia,15144
gwaRs,15584
heatmaply,15989
hrbrthemes,16465
ipeaplot,17830
jcolors,18277
jskm,18479
layer,19305
legendry,19521
lemon,19547
loon.ggplot,20251
mlbplotR,22566
nflplotR,24619
nord,25045
onsvplot,25728
painbow,26381
plothelper,27937
plotluck,27941
plotthis,27973
qqplotr,29740
qtl2ggplot,29832
quickReg,30008
RcmdrPlugin.KMggplot2,30865
RGraphSpace,32205
see,35134
smplot2,36828
SparseBiplots,37228
sportyR,37776
stevethemes,38372
survminer,38962
swimplot,39138
tablesgg,39325
tgamtheme,39945
thematic,39981
tidyEdSurvey,40127
tidyterra,40243
tidytext,40245
tinythemes,40403
treemapify,40893
tvthemes,41371
unhcrthemes,41602
waterfalls,42604
xkcd,43291
